,n_steps
0,11.0
1,3.0
2,5.0
3,7.0
4,4.0
5,6.0
6,8.0
7,4.0
8,12.0
9,6.0
10,15.0
11,3.0
12,5.0
13,10.0
14,10.0
15,18.0
16,38.0
17,10.0
18,7.0
19,7.0
20,12.0
21,5.0
22,13.0
23,14.0
24,14.0
25,3.0
26,7.0
27,10.0
28,11.0
29,9.0
30,14.0
31,14.0
32,33.0
33,2.0
34,6.0
35,6.0
36,30.0
37,6.0
38,2.0
39,24.0
40,18.0
41,2.0
42,14.0
43,7.0
44,9.0
45,10.0
46,3.0
47,8.0
48,8.0
49,3.0
50,28.0
51,9.0
52,10.0
53,14.0
54,8.0
55,9.0
56,4.0
57,34.0
58,7.0
59,5.0
60,13.0
61,13.0
62,4.0
63,9.0
64,16.0
65,9.0
66,10.0
67,7.0
68,9.0
69,5.0
70,7.0
71,9.0
72,12.0
73,11.0
74,8.0
75,6.0
76,8.0
77,2.0
78,3.0
79,13.0
80,12.0
81,29.0
82,22.0
83,6.0
84,2.0
85,3.0
86,11.0
87,38.0
88,10.0
89,11.0
90,4.0
91,3.0
92,6.0
93,20.0
94,4.0
95,16.0
96,11.0
97,2.0
98,1.0
99,10.0
100,5.0
101,10.0
102,8.0
103,7.0
104,4.0
105,10.0
106,26.0
107,12.0
108,20.0
109,9.0
110,15.0
111,15.0
112,12.0
113,13.0
114,3.0
115,6.0
116,2.0
117,2.0
118,6.0
119,7.0
120,5.0
121,3.0
122,4.0
123,6.0
124,19.0
125,8.0
126,3.0
127,13.0
128,4.0
129,8.0
130,9.0
131,4.0
132,9.0
133,3.0
134,6.0
135,16.0
136,10.0
137,3.0
138,8.0
139,10.0
140,10.0
141,5.0
142,5.0
143,7.0
144,18.0
145,2.0
146,5.0
147,6.0
148,9.0
149,8.0
150,13.0
151,19.0
152,11.0
153,5.0
154,11.0
155,12.0
156,9.0
157,4.0
158,11.0
159,14.0
160,16.0
161,10.0
162,7.0
163,5.0
164,11.0
165,10.0
166,13.0
167,9.0
168,3.0
169,8.0
170,10.0
171,11.0
172,11.0
173,9.0
174,19.0
175,10.0
176,5.0
177,7.0
178,6.0
179,10.0
180,5.0
181,5.0
182,3.0
183,6.0
184,12.0
185,15.0
186,8.0
187,10.0
188,10.0
189,8.0
190,7.0
191,9.0
192,17.0
193,9.0
194,7.0
195,7.0
196,4.0
197,25.0
198,20.0
199,5.0
200,12.0
201,4.0
202,9.0
203,17.0
204,14.0
205,7.0
206,2.0
207,14.0
208,6.0
209,15.0
210,16.0
211,19.0
212,5.0
213,45.0
214,2.0
215,6.0
216,10.0
217,9.0
218,5.0
219,4.0
220,10.0
221,7.0
222,5.0
223,8.0
224,8.0
225,7.0
226,2.0
227,6.0
228,3.0
229,6.0
230,4.0
231,8.0
232,7.0
233,8.0
234,11.0
235,8.0
236,4.0
237,7.0
238,6.0
239,10.0
240,16.0
241,3.0
242,7.0
243,11.0
244,6.0
245,22.0
246,29.0
247,6.0
248,12.0
249,20.0
250,6.0
251,15.0
252,8.0
253,5.0
254,3.0
255,11.0
256,11.0
257,3.0
258,4.0
259,11.0
260,8.0
261,26.0
262,10.0
263,11.0
264,3.0
265,9.0
266,8.0
267,4.0
268,1.0
269,8.0
270,2.0
271,5.0
272,14.0
273,15.0
274,7.0
275,3.0
276,2.0
277,8.0
278,21.0
279,21.0
280,5.0
281,3.0
282,10.0
283,6.0
284,7.0
285,9.0
286,5.0
287,15.0
288,18.0
289,16.0
290,4.0
291,12.0
292,15.0
293,15.0
294,14.0
295,6.0
296,11.0
297,9.0
298,5.0
299,8.0
300,10.0
301,7.0
302,5.0
303,3.0
304,5.0
305,12.0
306,14.0
307,6.0
308,3.0
309,1.0
310,3.0
311,9.0
312,11.0
313,5.0
314,10.0
315,9.0
316,10.0
317,8.0
318,12.0
319,10.0
320,9.0
321,10.0
322,26.0
323,6.0
324,6.0
325,8.0
326,10.0
327,8.0
328,9.0
329,8.0
330,20.0
331,11.0
332,11.0
333,4.0
334,17.0
335,7.0
336,7.0
337,7.0
338,6.0
339,9.0
340,5.0
341,8.0
342,10.0
343,7.0
344,9.0
345,2.0
346,2.0
347,5.0
348,1.0
349,1.0
350,8.0
351,13.0
352,12.0
353,3.0
354,15.0
355,21.0
356,3.0
357,22.0
358,26.0
359,2.0
360,5.0
361,15.0
362,13.0
363,6.0
364,7.0
365,2.0
366,6.0
367,2.0
368,14.0
369,1.0
370,5.0
371,7.0
372,9.0
373,10.0
374,11.0
375,8.0
376,10.0
377,6.0
378,11.0
379,14.0
380,9.0
381,24.0
382,18.0
383,3.0
384,1.0
385,5.0
386,11.0
387,10.0
388,5.0
389,5.0
390,5.0
391,4.0
392,9.0
393,4.0
394,4.0
395,7.0
396,28.0
397,5.0
398,6.0
399,12.0
400,8.0
401,29.0
402,5.0
403,11.0
404,15.0
405,7.0
406,10.0
407,13.0
408,8.0
409,4.0
410,5.0
411,8.0
412,6.0
413,18.0
414,5.0
415,17.0
416,4.0
417,12.0
418,12.0
419,15.0
420,16.0
421,18.0
422,7.0
423,1.0
424,15.0
425,8.0
426,13.0
427,4.0
428,21.0
429,19.0
430,12.0
431,6.0
432,6.0
433,14.0
434,3.0
435,9.0
436,7.0
437,7.0
438,3.0
439,8.0
440,11.0
441,19.0
442,17.0
443,7.0
444,6.0
445,13.0
446,12.0
447,16.0
448,5.0
449,11.0
450,2.0
451,8.0
452,7.0
453,14.0
454,8.0
455,5.0
456,23.0
457,3.0
458,17.0
459,9.0
460,13.0
461,3.0
462,1.0
463,7.0
464,10.0
465,5.0
466,2.0
467,5.0
468,7.0
469,11.0
470,9.0
